Common Name,Scientific Name
Crested Oropendola,Psarocolius decumanus
Montezuma Oropendola,Psarocolius montezuma
Green Oropendola,Psarocolius viridis
Chestnut-headed Oropendola,Psarocolius wagleri
Red-rumped Parrot,Psephotus haematonotus
Mulga Parrot,Psephotus varius
Brimley's Chorus Frog,Pseudacris brimleyi
Spotted Chorus Frog,Pseudacris clarkii
Spring Peeper,Pseudacris crucifer
Upland Chorus Frog,Pseudacris feriarum
Southern Chorus Frog,Pseudacris nigrita
Little Grass Frog,Pseudacris ocularis
Ornate Chorus Frog,Pseudacris ornata
Strecker's Chorus Frog,Pseudacris streckeri
Striped Chorus Frog,Pseudacris triseriata
Dusky-tailed Canastero,Pseudasthenes humicola
White Hawk,Pseudastur albicollis
Gray-backed Hawk,Pseudastur occidentalis
Gray-and-white Tyrannulet,Pseudelaenia leucospodia
Cardinal Lory,Pseudeos cardinalis
Red-naped Ibis,Pseudibis papillosa
Streaked Tuftedcheek,Pseudocolaptes boissonneautii
Buffy Tuftedcheek,Pseudocolaptes lawrencii
Ticking Doradito,Pseudocolopteryx citreola
Dinelli's Doradito,Pseudocolopteryx dinelliana
Warbling Doradito,Pseudocolopteryx flaviventris
Crested Doradito,Pseudocolopteryx sclateri
Yellow-rumped Marshbird,Pseudoleistes guirahuro
Brown-and-yellow Marshbird,Pseudoleistes virescens
Maui Parrotbill,Pseudonestor xanthophrys
Gray-headed Social-Weaver,Pseudonigrita arnaudi
White-crowned Manakin,Pseudopipra pipra
Ground Tit,Pseudopodoces humilis
Rusty Pitohui,Pseudorectes ferrugineus
Caatinga Cacholote,Pseudoseisura cristata
White-throated Cacholote,Pseudoseisura gutturalis
Brown Cacholote,Pseudoseisura lophotes
Rufous Cacholote,Pseudoseisura unirufa
Black-headed Hemispingus,Pseudospingus verticalis
Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni
Rufous-headed Pygmy-Tyrant,Pseudotriccus ruficeps
Indochinese Barbet,Psilopogon annamensis
Flame-fronted Barbet,Psilopogon armillaris
Blue-throated Barbet,Psilopogon asiaticus
Necklaced Barbet,Psilopogon auricularis
Little Barbet,Psilopogon australis
Gold-whiskered Barbet,Psilopogon chrysopogon
Brown-throated Barbet,Psilopogon corvinus
Blue-eared Barbet,Psilopogon duvaucelii
Bornean Barbet,Psilopogon eximius
Chinese Barbet,Psilopogon faber
Green-eared Barbet,Psilopogon faiostrictus
Yellow-fronted Barbet,Psilopogon flavifrons
Golden-throated Barbet,Psilopogon franklinii
Coppersmith Barbet,Psilopogon haemacephalus
Yellow-crowned Barbet,Psilopogon henricii
Moustached Barbet,Psilopogon incognitus
Red-vented Barbet,Psilopogon lagrandieri
Lineated Barbet,Psilopogon lineatus
Malabar Barbet,Psilopogon malabaricus
Mountain Barbet,Psilopogon monticola
Red-throated Barbet,Psilopogon mystacophanos
Taiwan Barbet,Psilopogon nuchalis
Black-browed Barbet,Psilopogon oorti
Golden-naped Barbet,Psilopogon pulcherrimus
Fire-tufted Barbet,Psilopogon pyrolophus
Red-crowned Barbet,Psilopogon rafflesii
Crimson-fronted Barbet,Psilopogon rubricapillus
Great Barbet,Psilopogon virens
White-cheeked Barbet,Psilopogon viridis
Brown-headed Barbet,Psilopogon zeylanicus
Mountain Parakeet,Psilopsiagon aurifrons
Gray-hooded Parakeet,Psilopsiagon aymara
Spotted Bamboowren,Psilorhamphus guttatus
Brown Jay,Psilorhinus morio
Flammulated Owl,Psiloscops flammeolus
Red-masked Parakeet,Psittacara erythrogenys
Crimson-fronted Parakeet,Psittacara finschi
Green Parakeet,Psittacara holochlorus
White-eyed Parakeet,Psittacara leucophthalmus
Mitred Parakeet,Psittacara mitratus
Pacific Parakeet,Psittacara strenuus
Scarlet-fronted Parakeet,Psittacara wagleri
Red-breasted Parakeet,Psittacula alexandri
Layard's Parakeet,Psittacula calthrapae
Malabar Parakeet,Psittacula columboides
Plum-headed Parakeet,Psittacula cyanocephala
Echo Parakeet,Psittacula eques
Alexandrine Parakeet,Psittacula eupatria
Gray-headed Parakeet,Psittacula finschii
Slaty-headed Parakeet,Psittacula himalayana
Rose-ringed Parakeet,Psittacula krameri
Long-tailed Parakeet,Psittacula longicauda
Gray Parrot,Psittacus erithacus
Blue-rumped Parrot,Psittinus cyanurus
Gray-headed Parrotbill,Psittiparus gularis
Gray-winged Trumpeter,Psophia crepitans
Pale-winged Trumpeter,Psophia leucoptera
Dark-winged Trumpeter,Psophia viridis
Groundscraper Thrush,Psophocichla litsitsirupa
Chirruping Wedgebill,Psophodes cristatus
Western Whipbird,Psophodes nigrogularis
Chiming Wedgebill,Psophodes occidentalis
Eastern Whipbird,Psophodes olivaceus
King-of-Saxony Bird-of-Paradise,Pteridophora alberti
Red-billed Francolin,Pternistis adspersus
Red-necked Francolin,Pternistis afer
Ahanta Francolin,Pternistis ahantensis
Double-spurred Francolin,Pternistis bicalcaratus
Cape Francolin,Pternistis capensis
Erckel's Francolin,Pternistis erckelii
Hildebrandt's Francolin,Pternistis hildebrandti
Yellow-necked Francolin,Pternistis leucoscepus
Natal Francolin,Pternistis natalensis
Scaly Francolin,Pternistis squamatus
Swainson's Francolin,Pternistis swainsonii
Pin-tailed Sandgrouse,Pterocles alchata
Chestnut-bellied Sandgrouse,Pterocles exustus
Namaqua Sandgrouse,Pterocles namaqua
Black-bellied Sandgrouse,Pterocles orientalis
Spotted Sandgrouse,Pterocles senegallus
White-necked Petrel,Pterodroma cervicalis
Cook's Petrel,Pterodroma cookii
Juan Fernandez Petrel,Pterodroma externa
Bonin Petrel,Pterodroma hypoleuca
Mottled Petrel,Pterodroma inexpectata
Zino's Petrel,Pterodroma madeira
Kermadec Petrel,Pterodroma neglecta
Black-winged Petrel,Pterodroma nigripennis
Galapagos Petrel,Pterodroma phaeopygia
Hawaiian Petrel,Pterodroma sandwichensis
Black-necked Aracari,Pteroglossus aracari
Ivory-billed Aracari,Pteroglossus azara
Saffron Toucanet,Pteroglossus bailloni
Curl-crested Aracari,Pteroglossus beauharnaisii
Red-necked Aracari,Pteroglossus bitorquatus
Chestnut-eared Aracari,Pteroglossus castanotis
Fiery-billed Aracari,Pteroglossus frantzii
Lettered Aracari,Pteroglossus inscriptus
Many-banded Aracari,Pteroglossus pluricinctus
Collared Aracari,Pteroglossus torquatus
Common True Katydid,Pterophylla camellifolia
Chestnut-throated Huet-huet,Pteroptochos castaneus
Moustached Turca,Pteroptochos megapodius
Black-throated Huet-huet,Pteroptochos tarnii
White-throated Laughingthrush,Pterorhinus albogularis
Buffy Laughingthrush,Pterorhinus berthemyi
Black-throated Laughingthrush,Pterorhinus chinensis
Pere David's Laughingthrush,Pterorhinus davidi
Wayanad Laughingthrush,Pterorhinus delesserti
Chestnut-capped Laughingthrush,Pterorhinus mitratus
Greater Necklaced Laughingthrush,Pterorhinus pectoralis
Masked Laughingthrush,Pterorhinus perspicillatus
Rusty Laughingthrush,Pterorhinus poecilorhynchus
Rufous-necked Laughingthrush,Pterorhinus ruficollis
White-browed Laughingthrush,Pterorhinus sannio
Chestnut-hooded Laughingthrush,Pterorhinus treacheri
Blyth's Shrike-Babbler,Pteruthius aeralatus
Clicking Shrike-Babbler,Pteruthius intermedius
Black-eared Shrike-Babbler,Pteruthius melanotis
Himalayan Shrike-Babbler,Pteruthius ripleyi
Black-headed Shrike-Babbler,Pteruthius rufiventer
Green Shrike-Babbler,Pteruthius xanthochlorus
Orange-bellied Fruit-Dove,Ptilinopus iozonus
Wompoo Fruit-Dove,Ptilinopus magnificus
Black-naped Fruit-Dove,Ptilinopus melanospilus
Yellow-breasted Fruit-Dove,Ptilinopus occipitalis
Palau Fruit-Dove,Ptilinopus pelewensis
Crimson-crowned Fruit-Dove,Ptilinopus porphyraceus
Rose-crowned Fruit-Dove,Ptilinopus regina
White-breasted Fruit-Dove,Ptilinopus rivoli
Yellow-bibbed Fruit-Dove,Ptilinopus solomonensis
Superb Fruit-Dove,Ptilinopus superbus
Claret-breasted Fruit-Dove,Ptilinopus viridis
Long-tailed Silky-flycatcher,Ptiliogonys caudatus
Gray Silky-flycatcher,Ptiliogonys cinereus
Falcated Wren-Babbler,Ptilocichla falcata
Bornean Wren-Babbler,Ptilocichla leucogrammica
Striated Wren-Babbler,Ptilocichla mindanensis
Satin Bowerbird,Ptilonorhynchus violaceus
Stone Partridge,Ptilopachus petrosus
Rufous-backed Honeyeater,Ptiloprora guisei
Gray-streaked Honeyeater,Ptiloprora perstriata
Northern White-faced Owl,Ptilopsis leucotis
Magnificent Riflebird,Ptiloris magnificus
Paradise Riflebird,Ptiloris paradiseus
Victoria's Riflebird,Ptiloris victoriae
Blue Jewel-babbler,Ptilorrhoa caerulescens
Chestnut-backed Jewel-babbler,Ptilorrhoa castanonota
Spotted Jewel-babbler,Ptilorrhoa leucosticta
Piapiac,Ptilostomus afer
Fuscous Honeyeater,Ptilotula fusca
Yellow-plumed Honeyeater,Ptilotula ornata
White-plumed Honeyeater,Ptilotula penicillata
Cuban Blackbird,Ptiloxena atroviolacea
Dusky Crag-Martin,Ptyonoprogne concolor
Rock Martin,Ptyonoprogne fuligula
Eurasian Crag-Martin,Ptyonoprogne rupestris
Koklass Pheasant,Pucrasia macrolopha
Tropical Shearwater,Puffinus bailloni
Christmas Shearwater,Puffinus nativitatis
Newell's Shearwater,Puffinus newelli
Manx Shearwater,Puffinus puffinus
Tawny-browed Owl,Pulsatrix koeniswaldiana
Band-bellied Owl,Pulsatrix melanota
Spectacled Owl,Pulsatrix perspicillata
White-fronted Honeyeater,Purnella albifrons
Red-capped Parrot,Purpureicephalus spurius
Sooty-headed Bulbul,Pycnonotus aurigaster
Common Bulbul,Pycnonotus barbatus
Red-eyed Bulbul,Pycnonotus brunneus
Red-vented Bulbul,Pycnonotus cafer
Cape Bulbul,Pycnonotus capensis
Streak-eared Bulbul,Pycnonotus conradi
Stripe-throated Bulbul,Pycnonotus finlaysoni
Flavescent Bulbul,Pycnonotus flavescens
Yellow-vented Bulbul,Pycnonotus goiavier
Red-whiskered Bulbul,Pycnonotus jocosus
Himalayan Bulbul,Pycnonotus leucogenys
White-eared Bulbul,Pycnonotus leucotis
White-browed Bulbul,Pycnonotus luteolus
Black-fronted Bulbul,Pycnonotus nigricans
Olive-winged Bulbul,Pycnonotus plumosus
Cream-vented Bulbul,Pycnonotus simplex
Light-vented Bulbul,Pycnonotus sinensis
Striated Bulbul,Pycnonotus striatus
Styan's Bulbul,Pycnonotus taivanus
Yellow-throated Bulbul,Pycnonotus xantholaemus
White-spectacled Bulbul,Pycnonotus xanthopygos
Brown-breasted Bulbul,Pycnonotus xanthorrhous
Straw-headed Bulbul,Pycnonotus zeylanicus
Pilotbird,Pycnoptilus floccosus
White-throated Treerunner,Pygarrhichas albogularis
Spot-winged Antshrike,Pygiptila stellaris
Blue-and-white Swallow,Pygochelidon cyanoleuca
Adelie Penguin,Pygoscelis adeliae
Chinstrap Penguin,Pygoscelis antarcticus
Gentoo Penguin,Pygoscelis papua
Fringe-backed Fire-eye,Pyriglena atra
East Amazonian Fire-eye,Pyriglena leuconota
White-shouldered Fire-eye,Pyriglena leucoptera
Western Fire-eye,Pyriglena maura
Orange-cheeked Parrot,Pyrilia barrabandi
Caica Parrot,Pyrilia caica
Brown-hooded Parrot,Pyrilia haematotis
Rose-faced Parrot,Pyrilia pulchra
Saffron-headed Parrot,Pyrilia pyrilia
Vermilion Flycatcher,Pyrocephalus rubinus
Red-ruffed Fruitcrow,Pyroderus scutatus
Fire-eyed Diucon,Pyrope pyrope
Yellow-billed Chough,Pyrrhocorax graculus
Red-billed Chough,Pyrrhocorax pyrrhocorax
Redthroat,Pyrrholaemus brunneus
Speckled Warbler,Pyrrholaemus sagittatus
Cinnamon Flycatcher,Pyrrhomyias cinnamomeus
Gray-headed Bullfinch,Pyrrhula erythaca
Brown Bullfinch,Pyrrhula nipalensis
Eurasian Bullfinch,Pyrrhula pyrrhula
White-necked Parakeet,Pyrrhura albipectus
Santarem Parakeet,Pyrrhura amazonum
Brown-breasted Parakeet,Pyrrhura calliptera
Ochre-marked Parakeet,Pyrrhura cruentata
Maroon-bellied Parakeet,Pyrrhura frontalis
Red-eared Parakeet,Pyrrhura hoematotis
Sulphur-winged Parakeet,Pyrrhura hoffmanni
Maroon-faced Parakeet,Pyrrhura leucotis
Maroon-tailed Parakeet,Pyrrhura melanura
Green-cheeked Parakeet,Pyrrhura molinae
El Oro Parakeet,Pyrrhura orcesi
Crimson-bellied Parakeet,Pyrrhura perlata
Painted Parakeet,Pyrrhura picta
Rose-headed Parakeet,Pyrrhura rhodocephala
Rose-fronted Parakeet,Pyrrhura roseifrons
Black-capped Parakeet,Pyrrhura rupicola
Santa Marta Parakeet,Pyrrhura viridicata
Green-winged Pytilia,Pytilia melba
Red-billed Quelea,Quelea quelea
Purple-throated Fruitcrow,Querula purpurata
Carib Grackle,Quiscalus lugubris
Boat-tailed Grackle,Quiscalus major
Great-tailed Grackle,Quiscalus mexicanus
Nicaraguan Grackle,Quiscalus nicaraguensis
Greater Antillean Grackle,Quiscalus niger
Common Grackle,Quiscalus quiscula
Radjah Shelduck,Radjah radjah
Slaty-legged Crake,Rallina eurizonoides
Red-legged Crake,Rallina fasciata
Red-necked Crake,Rallina tricolor
Austral Rail,Rallus antarcticus
Water Rail,Rallus aquaticus
African Rail,Rallus caerulescens
Clapper Rail,Rallus crepitans
King Rail,Rallus elegans
Brown-cheeked Rail,Rallus indicus
Virginia Rail,Rallus limicola
Mangrove Rail,Rallus longirostris
Ridgway's Rail,Rallus obsoletus
Bogota Rail,Rallus semiplumbeus
Aztec Rail,Rallus tenuirostris
Yellow-throated Toucan,Ramphastos ambiguus
Choco Toucan,Ramphastos brevis
Red-breasted Toucan,Ramphastos dicolorus
Keel-billed Toucan,Ramphastos sulfuratus
Toco Toucan,Ramphastos toco
White-throated Toucan,Ramphastos tucanus
Channel-billed Toucan,Ramphastos vitellinus
Long-billed Gnatwren,Ramphocaenus melanurus
Chattering Gnatwren,Ramphocaenus sticturus
Brazilian Tanager,Ramphocelus bresilius
Silver-beaked Tanager,Ramphocelus carbo
Crimson-backed Tanager,Ramphocelus dimidiatus
Flame-rumped Tanager,Ramphocelus flammigerus
Black-bellied Tanager,Ramphocelus melanogaster
Masked Crimson Tanager,Ramphocelus nigrogularis
Scarlet-rumped Tanager,Ramphocelus passerinii
Crimson-collared Tanager,Ramphocelus sanguinolentus
Saw-billed Hermit,Ramphodon naevius
Purple-backed Thornbill,Ramphomicron microrhynchum
Flammulated Flycatcher,Ramphotrigon flammulatum
Dusky-tailed Flatbill,Ramphotrigon fuscicauda
Large-headed Flatbill,Ramphotrigon megacephalum
Rufous-tailed Flatbill,Ramphotrigon ruficauda
Brown-backed Honeyeater,Ramsayornis modestus
Blue-and-yellow Tanager,Rauenia bonariensis
American Avocet,Recurvirostra americana
Andean Avocet,Recurvirostra andina
Pied Avocet,Recurvirostra avosetta
Flamecrest,Regulus goodfellowi
Common Firecrest,Regulus ignicapilla
Madeira Firecrest,Regulus madeirensis
Goldcrest,Regulus regulus
Golden-crowned Kinglet,Regulus satrapa
Orange-backed Woodpecker,Reinwardtipicus validus
Great Cuckoo-Dove,Reinwardtoena reinwardti
Chinese Penduline-Tit,Remiz consobrinus
White-crowned Penduline-Tit,Remiz coronatus
Eurasian Penduline-Tit,Remiz pendulinus
Wrinkled Hornbill,Rhabdotorrhinus corrugatus
Sulawesi Hornbill,Rhabdotorrhinus exarhatus
Silver-rumped Needletail,Rhaphidura leucopygialis
Greater Rhea,Rhea americana
Chestnut-crested Antbird,Rhegmatorhina cristata
Bare-eyed Antbird,Rhegmatorhina gymnops
White-breasted Antbird,Rhegmatorhina hoffmannsi
Hairy-crested Antbird,Rhegmatorhina melanosticta
Crested Gallito,Rhinocrypta lanceolata
Common Scimitarbill,Rhinopomastus cyanomelas
Raffles's Malkoha,Rhinortha chlorophaea
White-throated Fantail,Rhipidura albicollis
Gray Fantail,Rhipidura albiscapa
Spot-breasted Fantail,Rhipidura albogularis
Friendly Fantail,Rhipidura albolimbata
Black Fantail,Rhipidura atra
White-browed Fantail,Rhipidura aureola
Dimorphic Fantail,Rhipidura brachyrhyncha
Blue-headed Fantail,Rhipidura cyaniceps
Arafura Fantail,Rhipidura dryas
New Zealand Fantail,Rhipidura fuliginosa
Malaysian Pied-Fantail,Rhipidura javanica
Willie-wagtail,Rhipidura leucophrys
White-bellied Thicket-Fantail,Rhipidura leucothorax
Black Thicket-Fantail,Rhipidura maculipectus
Philippine Pied-Fantail,Rhipidura nigritorquis
Spotted Fantail,Rhipidura perlata
Rufous Fantail,Rhipidura rufifrons
Northern Fantail,Rhipidura rufiventris
Sulawesi Fantail,Rhipidura teysmanni
Sooty Thicket-Fantail,Rhipidura threnothorax
Streaked Fantail,Rhipidura verreauxi
Rosy Thrush-Tanager,Rhodinocichla rosea
Rosy-patched Bushshrike,Rhodophoneus cruentus
Crimson-breasted Finch,Rhodospingus cruentus
Desert Finch,Rhodospiza obsoleta
Ross's Gull,Rhodostethia rosea
Crimson-collared Grosbeak,Rhodothraupis celaeno
Star-throated Antwren,Rhopias gularis
Beijing Babbler,Rhopophilus pekinensis
Slender Antbird,Rhopornis ardesiacus
Band-tailed Sierra Finch,Rhopospina alaudina
Blue Finch,Rhopospina caerulescens
Mourning Sierra Finch,Rhopospina fruticeti
Eye-ringed Flatbill,Rhynchocyclus brevirostris
Olivaceous Flatbill,Rhynchocyclus olivaceus
Thick-billed Longspur,Rhynchophanes mccownii
Thick-billed Parrot,Rhynchopsitta pachyrhyncha
Maroon-fronted Parrot,Rhynchopsitta terrisi
Tawny-faced Quail,Rhynchortyx cinctus
Tumbes Sparrow,Rhynchospiza stolzmanni
Chaco Sparrow,Rhynchospiza strigiceps
Red-winged Tinamou,Rhynchotus rufescens
Kagu,Rhynochetos jubatus
Knobbed Hornbill,Rhyticeros cassidix
Blyth's Hornbill,Rhyticeros plicatus
Wreathed Hornbill,Rhyticeros undulatus
Rufous Mourner,Rhytipterna holerythra
Pale-bellied Mourner,Rhytipterna immunda
Grayish Mourner,Rhytipterna simplex
Gray-throated Martin,Riparia chinensis
Pale Sand Martin,Riparia diluta
Plain Martin,Riparia paludicola
Bank Swallow,Riparia riparia
Black-legged Kittiwake,Rissa tridactyla
Crested Partridge,Rollulus rouloul
Roraiman Barbtail,Roraimia adusta
Greater Painted-Snipe,Rostratula benghalensis
Snail Kite,Rostrhamus sociabilis
Spectacled Bulbul,Rubigula erythropthalmos
Black-crested Bulbul,Rubigula flaviventris
Flame-throated Bulbul,Rubigula gularis
Andean Cock-of-the-rock,Rupicola peruvianus
Guianan Cock-of-the-rock,Rupicola rupicola
Roadside Hawk,Rupornis magnirostris
Black Skimmer,Rynchops niger
Black-crested Antshrike,Sakesphorus canadensis
Silvery-cheeked Antshrike,Sakesphorus cristatus
Glossy Antshrike,Sakesphorus luctuosus
Rock Wren,Salpinctes obsoletus
African Spotted Creeper,Salpornis salvadori
Lesser Antillean Saltator,Saltator albicollis
Black-headed Saltator,Saltator atriceps
Black-winged Saltator,Saltator atripennis
Golden-billed Saltator,Saltator aurantiirostris
Masked Saltator,Saltator cinctus
Blue-gray Saltator,Saltator coerulescens
Black-throated Grosbeak,Saltator fuliginosus
Cinnamon-bellied Saltator,Saltator grandis
Slate-colored Grosbeak,Saltator grossus
Thick-billed Saltator,Saltator maxillosus
Buff-throated Saltator,Saltator maximus
Black-cowled Saltator,Saltator nigriceps
Olivaceous Saltator,Saltator olivascens
Orinocan Saltator,Saltator orenocensis
Green-winged Saltator,Saltator similis
Streaked Saltator,Saltator striatipectus
Black-throated Saltator,Saltatricula atricollis
Many-colored Chaco Finch,Saltatricula multicolor
Sapayoa,Sapayoa aenigma
Red-tailed Comet,Sappho sparganurus
Coleto,Sarcops calvus
Buff-spotted Flufftail,Sarothrura elegans
Madagascar Flufftail,Sarothrura insularis
White-spotted Flufftail,Sarothrura pulchra
Red-chested Flufftail,Sarothrura rufa
Rufous Piculet,Sasia abnormis
White-browed Piculet,Sasia ochracea
Berylline Hummingbird,Saucerottia beryllina
Azure-crowned Hummingbird,Saucerottia cyanocephala
Copper-rumped Hummingbird,Saucerottia tobaci
Saunders's Gull,Saundersilarus saundersi
Pied Bushchat,Saxicola caprata
Gray Bushchat,Saxicola ferreus
Siberian Stonechat,Saxicola maurus
Whinchat,Saxicola rubetra
European Stonechat,Saxicola rubicola
Amur Stonechat,Saxicola stejnegeri
African Stonechat,Saxicola torquatus
Black Phoebe,Sayornis nigricans
Eastern Phoebe,Sayornis phoebe
Say's Phoebe,Sayornis saya
Couch's Spadefoot,Scaphiopus couchii
White-throated Tapaculo,Scelorchilus albicollis
Chucao Tapaculo,Scelorchilus rubecula
Tooth-billed Bowerbird,Scenopoeetes dentirostris
Rufous Vanga,Schetba rufa
Foothill Schiffornis,Schiffornis aenea
Varzea Schiffornis,Schiffornis major
Olivaceous Schiffornis,Schiffornis olivacea
Russet-winged Schiffornis,Schiffornis stenorhyncha
Brown-winged Schiffornis,Schiffornis turdina
Northern Schiffornis,Schiffornis veraepacis
Greenish Schiffornis,Schiffornis virescens
Geoffroy's Daggerbill,Schistes geoffroyi
Black-faced Tanager,Schistochlamys melanopis
Cinnamon Tanager,Schistochlamys ruficapillus
Broad-tailed Grassbird,Schoenicola platyurus
Bristled Grassbird,Schoenicola striatus
Chotoy Spinetail,Schoeniophylax phryganophilus
Dusky Fulvetta,Schoeniparus brunneus
Rufous-winged Fulvetta,Schoeniparus castaneceps
Yellow-throated Fulvetta,Schoeniparus cinereus
Rusty-capped Fulvetta,Schoeniparus dubius
Rufous-throated Fulvetta,Schoeniparus rufogularis
Zimmer's Antbird,Sciaphylax castanea
Chestnut-tailed Antbird,Sciaphylax hemimelaena
Eastern Gray Squirrel,Sciurus carolinensis
Silvered Antbird,Sclateria naevia
Gray-winged Francolin,Scleroptila afra
Orange River Francolin,Scleroptila gutturalis
Red-winged Francolin,Scleroptila levaillantii
Shelley's Francolin,Scleroptila shelleyi
Gray-throated Leaftosser,Sclerurus albigularis
Black-tailed Leaftosser,Sclerurus caudacutus
Scaly-throated Leaftosser,Sclerurus guatemalensis
Middle American Leaftosser,Sclerurus mexicanus
South American Leaftosser,Sclerurus obscurior
Short-billed Leaftosser,Sclerurus rufigularis
Rufous-breasted Leaftosser,Sclerurus scansor
Bukidnon Woodcock,Scolopax bukidnonensis
American Woodcock,Scolopax minor
Eurasian Woodcock,Scolopax rusticola
Hamerkop,Scopus umbretta
Scrub Warbler,Scotocerca inquieta
Curve-tailed Bush Katydid,Scudderia curvicauda
Fork-tailed Bush Katydid,Scudderia furcata
Texas Bush Katydid,Scudderia texensis
Tschudi's Tapaculo,Scytalopus acutirostris
Ancash Tapaculo,Scytalopus affinis
Neblina Tapaculo,Scytalopus altirostris
Tatama Tapaculo,Scytalopus alvarezlopezi
Loja Tapaculo,Scytalopus androstictus
Silvery-fronted Tapaculo,Scytalopus argentifrons
White-crowned Tapaculo,Scytalopus atratus
Bolivian Tapaculo,Scytalopus bolivianus
Paramillo Tapaculo,Scytalopus canus
Caracas Tapaculo,Scytalopus caracae
Choco Tapaculo,Scytalopus chocoensis
Diamantina Tapaculo,Scytalopus diamantinensis
Rufous-vented Tapaculo,Scytalopus femoralis
Jalca Tapaculo,Scytalopus frankeae
Dusky Tapaculo,Scytalopus fuscus
Pale-bellied Tapaculo,Scytalopus griseicollis
Utcubamba Tapaculo,Scytalopus intermedius
Marsh Tapaculo,Scytalopus iraiensis
Brown-rumped Tapaculo,Scytalopus latebricola
Blackish Tapaculo,Scytalopus latrans
Large-footed Tapaculo,Scytalopus macropus
Magellanic Tapaculo,Scytalopus magellanicus
Merida Tapaculo,Scytalopus meridanus
Long-tailed Tapaculo,Scytalopus micropterus
Brasilia Tapaculo,Scytalopus novacapitalis
Paramo Tapaculo,Scytalopus opacus
Planalto Tapaculo,Scytalopus pachecoi
Chusquea Tapaculo,Scytalopus parkeri
Trilling Tapaculo,Scytalopus parvirostris
Perija Tapaculo,Scytalopus perijanus
Rock Tapaculo,Scytalopus petrophilus
Ecuadorian Tapaculo,Scytalopus robbinsi
Magdalena Tapaculo,Scytalopus rodriguezi
Santa Marta Tapaculo,Scytalopus sanctaemartae
Diademed Tapaculo,Scytalopus schulenbergi
Puna Tapaculo,Scytalopus simonsi
Mouse-colored Tapaculo,Scytalopus speluncae
Spillmann's Tapaculo,Scytalopus spillmanni
Stiles's Tapaculo,Scytalopus stilesi
White-browed Tapaculo,Scytalopus superciliaris
Unicolored Tapaculo,Scytalopus unicolor
Vilcabamba Tapaculo,Scytalopus urubambae
Nariño Tapaculo,Scytalopus vicinior
Zimmer's Tapaculo,Scytalopus zimmeri
Channel-billed Cuckoo,Scythrops novaehollandiae
Ovenbird,Seiurus aurocapilla
Calliope Hummingbird,Selasphorus calliope
Wine-throated Hummingbird,Selasphorus ellioti
Bumblebee Hummingbird,Selasphorus heloisa
Broad-tailed Hummingbird,Selasphorus platycercus
Rufous Hummingbird,Selasphorus rufus
Allen's Hummingbird,Selasphorus sasin
Gould's Toucanet,Selenidera gouldii
Spot-billed Toucanet,Selenidera maculirostris
Guianan Toucanet,Selenidera piperivora
Golden-collared Toucanet,Selenidera reinwardtii
Yellow-eared Toucanet,Selenidera spectabilis
Twelve-wired Bird-of-Paradise,Seleucidis melanoleucus
Standardwing Bird-of-Paradise,Semioptera wallacii
Prong-billed Barbet,Semnornis frantzii
Toucan Barbet,Semnornis ramphastinus
Green-backed Firecrown,Sephanoides sephaniodes
Yellow-throated Scrubwren,Sericornis citreogularis
White-browed Scrubwren,Sericornis frontalis
Tasmanian Scrubwren,Sericornis humilis
Large-billed Scrubwren,Sericornis magnirostra
Papuan Scrubwren,Sericornis papuensis
White-capped Tanager,Sericossypha albocristata
Silver-breasted Broadbill,Serilophus lunatus
Black-headed Canary,Serinus alario
Island Canary,Serinus canaria
Cape Canary,Serinus canicollis
Yellow-crowned Canary,Serinus flavivertex
Fire-fronted Serin,Serinus pusillus
European Serin,Serinus serinus
Torrent Tyrannulet,Serpophaga cinerea
Straneck's Tyrannulet,Serpophaga griseicapilla
River Tyrannulet,Serpophaga hypoleuca
White-bellied Tyrannulet,Serpophaga munda
Sooty Tyrannulet,Serpophaga nigricans
White-crested Tyrannulet,Serpophaga subcristata
Little Nightjar,Setopagis parvula
Adelaide's Warbler,Setophaga adelaidae
Northern Parula,Setophaga americana
Black-throated Blue Warbler,Setophaga caerulescens
Bay-breasted Warbler,Setophaga castanea
Cerulean Warbler,Setophaga cerulea
Golden-cheeked Warbler,Setophaga chrysoparia
Hooded Warbler,Setophaga citrina
Yellow-rumped Warbler,Setophaga coronata
Prairie Warbler,Setophaga discolor
Yellow-throated Warbler,Setophaga dominica
Blackburnian Warbler,Setophaga fusca
Grace's Warbler,Setophaga graciae
Kirtland's Warbler,Setophaga kirtlandii
Magnolia Warbler,Setophaga magnolia
Black-throated Gray Warbler,Setophaga nigrescens
Hermit Warbler,Setophaga occidentalis
Palm Warbler,Setophaga palmarum
Chestnut-sided Warbler,Setophaga pensylvanica
Yellow Warbler,Setophaga petechia
Pine Warbler,Setophaga pinus
Tropical Parula,Setophaga pitiayumi
Olive-capped Warbler,Setophaga pityophila
American Redstart,Setophaga ruticilla
Blackpoll Warbler,Setophaga striata
Cape May Warbler,Setophaga tigrina
Townsend's Warbler,Setophaga townsendi
Black-throated Green Warbler,Setophaga virens
East Coast Akalat,Sheppardia gunningi
Sharpe's Akalat,Sheppardia sharpei
White-bellied Sholakili,Sholicola albiventris
Nilgiri Sholakili,Sholicola major
Mountain Bluebird,Sialia currucoides
Western Bluebird,Sialia mexicana
Eastern Bluebird,Sialia sialis
